#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,year
1,Louis Labeyrie,PLV,.647,.626,159.1,17.2,30.5,23.8,6.5,10.6,1.6,2.9,19.2,-2.0,1.6,131.0,98.1,32.9,401.9,26.7,2017
2,Vitalis Chikoko,PAU,.716,.694,142.9,13.5,17.7,15.7,5.2,12.4,1.2,3.8,21.5,-3.8,1.7,129.7,101.6,28.1,224.3,26.3,2017
3,Chris Otule,ANT,.690,.680,133.5,13.8,15.8,14.8,3.0,15.6,0.5,4.2,23.1,-6.4,1.6,121.2,110.2,11.1,338.1,24.6,2017
4,Nicolas de Jong,RCB,.618,.592,146.7,6.3,16.9,11.5,9.3,7.1,0.9,2.6,27.2,-1.0,1.4,118.9,115.3,3.5,236.3,23.6,2017
5,Richard Solomon,GRV,.605,.595,168.8,14.6,29.3,21.6,3.4,15.7,2.9,3.0,21.2,-5.6,1.4,112.8,102.9,9.9,307.0,23.3,2017
6,Cameron Clark,CHA,.577,.540,160.0,7.0,16.5,12.0,13.5,9.7,1.6,1.2,27.4,-0.5,1.3,116.6,105.3,11.3,500.4,23.0,2017
7,John Roberson,CHA,.658,.597,180.8,1.0,9.6,5.6,32.6,16.7,1.8,0.0,21.9,5.9,1.5,127.9,108.5,19.4,578.4,22.2,2017
8,Moustapha Fall,CHA,.657,.675,117.8,10.0,23.7,17.2,13.4,17.3,0.9,6.1,17.2,-0.6,1.6,122.0,101.5,20.5,610.4,22.1,2017
9,Frank Hassell,PORT,.551,.524,149.8,13.6,23.1,18.4,11.8,15.2,2.1,2.8,26.9,-4.5,1.2,106.6,100.0,6.6,370.9,22.0,2017
10,Justin Cobbs,GRV,.570,.480,163.4,2.0,11.8,6.7,32.3,13.9,2.4,0.2,25.7,3.9,1.4,115.9,109.9,5.9,399.1,22.0,2017
11,Mathias Lessort,N92,.594,.578,216.7,16.6,23.9,20.2,5.3,17.1,1.7,4.3,22.1,-5.8,1.4,112.3,102.9,9.3,326.0,21.9,2017
12,Vincent Poirier,PLV,.572,.535,122.2,16.3,23.3,19.8,5.8,12.6,1.2,3.6,21.8,-3.7,1.3,116.1,100.6,15.5,367.0,21.8,2017
13,Tyler Cain,RCB,.569,.550,117.5,11.8,23.2,17.4,14.1,9.2,1.9,4.0,18.2,1.9,1.3,120.2,111.3,8.8,384.3,21.6,2017
14,Darryl Watkins,LYV,.622,.571,129.4,13.1,21.6,17.6,8.7,18.3,1.7,3.2,22.1,-5.2,1.6,112.5,102.9,9.6,356.1,20.9,2017
15,David Holston,DIJ,.552,.512,162.6,1.7,8.9,5.1,41.4,16.4,4.0,0.1,25.3,6.5,1.2,110.3,106.9,3.4,352.3,20.9,2017
16,Alain Koffi,PAU,.585,.554,223.0,9.7,20.0,15.0,7.6,11.4,1.5,3.0,22.8,-2.8,1.4,113.0,101.3,11.7,347.5,20.6,2017
