#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
1,Cameron Clark,CHA,44,30.3,17.5,6.8,13.3,.512,0.8,2.1,.355,3.2,4.3,.733,1.6,4.2,5.8,2.2,0.9,0.4,1.6,2.3,2017
2,Jason Rich,PLV,40,34.2,17.5,6.6,14.2,.462,1.1,3.2,.357,3.2,4.5,.709,0.7,2.3,3.0,4.3,1.1,0.1,2.8,2.5,2017
3,Justin Cobbs,GRV,34,32.7,16.9,5.5,12.2,.451,0.7,2.3,.304,5.1,5.9,.879,0.6,3.0,3.6,5.5,1.4,0.1,2.4,2.3,2017
4,Kyle Gibson,GRV,32,33.3,16.8,5.6,13.4,.416,3.0,6.8,.438,2.6,3.2,.804,0.3,2.5,2.8,2.3,0.9,0.2,2.4,1.7,2017
5,John Roberson,CHA,44,33.0,16.1,4.9,10.5,.467,2.8,6.4,.431,3.5,3.8,.911,0.3,2.7,2.9,6.6,1.1,0.0,2.5,2.2,2017
6,Klemen Prepelic,CSP,33,30.2,15.8,4.4,10.7,.412,2.4,6.7,.351,4.6,5.6,.822,0.3,2.4,2.7,3.7,0.9,0.0,1.6,2.4,2017
7,Alex Young,RCB,32,28.9,14.8,5.3,12.3,.433,1.9,5.1,.370,2.3,3.1,.727,1.1,2.4,3.5,1.5,1.1,0.5,2.0,2.6,2017
8,Chris Warren,N92,36,32.5,14.4,4.9,10.7,.456,2.1,5.3,.403,2.5,3.1,.813,0.4,1.7,2.1,4.5,0.6,0.1,1.9,2.1,2017
9,Darrin Dorsey,PORT,35,29.9,14.3,4.9,11.1,.444,2.3,5.5,.420,2.1,2.6,.811,0.4,1.9,2.3,4.3,1.6,0.0,2.0,1.7,2017
10,Micah Downs,ORL,26,32.7,14.0,5.1,10.3,.493,2.2,5.0,.442,1.7,2.2,.768,0.6,3.8,4.5,3.0,0.8,0.3,2.7,1.9,2017
11,Marcellus Sommerville,ORL,29,30.0,13.8,4.9,11.3,.434,1.3,4.1,.328,2.6,3.4,.760,1.3,4.4,5.7,1.5,0.9,0.1,1.9,1.9,2017
12,Tim Blue,ANT,33,31.2,13.8,5.2,11.4,.456,1.1,3.1,.347,2.3,2.9,.802,1.5,5.0,6.5,3.2,0.8,0.5,2.9,2.8,2017
13,Chris Otule,ANT,34,25.5,13.6,5.7,8.4,.680,0.0,0.0,.000,2.3,3.5,.655,2.8,3.3,6.1,0.3,0.2,1.0,1.8,2.2,2017
14,Steven Smith,RCB,28,32.6,13.5,5.1,11.1,.457,2.3,5.0,.460,1.1,1.4,.750,0.8,4.7,5.5,2.4,0.6,0.1,2.3,2.5,2017
15,Nicolas de Jong,RCB,31,21.2,13.5,5.6,9.5,.586,0.1,0.5,.176,2.2,3.2,.704,1.1,2.7,3.8,0.9,0.4,0.5,0.8,3.3,2017
16,Frank Hassell,PORT,36,26.9,13.5,5.8,11.1,.523,0.0,0.1,.250,1.8,2.5,.725,2.8,4.9,7.7,1.5,0.9,0.7,2.2,2.7,2017
17,A.J. Slaughter,STR,47,27.4,13.2,4.6,10.0,.463,2.3,5.5,.419,1.7,2.0,.813,0.4,2.1,2.5,2.9,0.9,0.0,1.8,2.0,2017
18,David Holston,DIJ,34,29.4,13.1,4.5,10.8,.418,2.0,5.7,.358,2.0,2.4,.850,0.4,1.8,2.2,6.3,2.0,0.0,2.3,2.9,2017
19,D.J. Cooper,PAU,36,34.7,13.1,4.0,10.1,.398,2.1,6.7,.315,3.0,3.9,.770,0.8,4.9,5.7,10.8,2.3,0.1,4.5,2.4,2017
20,Dee Bost,ASM,37,25.2,12.9,4.2,11.2,.371,1.9,5.7,.343,2.6,3.3,.795,0.6,2.4,3.1,5.3,1.1,0.2,1.8,2.6,2017
21,Walter Hodge,LYV,34,27.4,12.9,4.6,9.2,.500,1.5,3.8,.392,2.1,2.7,.802,0.3,1.5,1.8,5.6,1.0,0.1,2.9,3.0,2017
22,Sek Henry,GRV,27,30.3,12.6,4.4,10.1,.434,1.8,5.1,.358,2.0,2.6,.768,0.7,2.3,3.0,2.4,1.4,0.3,1.3,2.0,2017
23,Kyle McAlarney,ORL,26,28.4,12.5,4.3,8.8,.496,2.8,6.0,.468,1.0,1.0,.962,0.3,1.1,1.4,2.5,0.6,0.0,1.8,2.2,2017
24,William Buford,CSP,32,31.9,12.4,4.7,11.2,.422,1.3,3.9,.325,1.7,2.1,.809,1.3,3.3,4.6,2.9,0.7,0.1,1.8,2.1,2017
25,Ryan Pearson,LEM,31,24.4,12.2,4.3,9.6,.443,0.9,2.5,.355,2.8,3.7,.757,0.9,3.2,4.1,1.4,1.0,0.2,1.3,2.2,2017
26,Isaiah Miles,DIJ,34,29.1,12.2,4.2,8.6,.495,1.7,3.7,.468,2.0,2.3,.859,1.3,3.5,4.9,0.6,0.8,0.4,1.0,2.6,2017
27,Marc Trasolini,NAN,32,29.5,12.2,4.7,8.9,.530,0.3,1.1,.229,2.5,3.6,.693,1.9,4.3,6.2,1.1,1.1,0.9,1.5,2.4,2017
28,Spencer Butterfield,N92,33,26.0,12.1,4.3,9.5,.455,1.8,4.5,.407,1.5,1.9,.797,1.2,3.2,4.3,2.3,1.1,0.0,1.4,1.7,2017
29,Alain Koffi,PAU,37,24.3,12.0,4.9,8.8,.552,0.0,0.0,1.000,2.3,3.4,.677,2.0,4.3,6.3,0.9,0.6,0.8,1.3,2.0,2017
30,Lance Harris,CHA,45,27.5,12.0,4.6,9.6,.478,1.9,5.1,.368,1.0,1.4,.694,0.7,2.6,3.3,1.6,0.6,0.0,1.2,1.7,2017
31,Yakuba Ouattara,ASM,32,23.9,11.8,4.6,8.9,.514,1.3,3.1,.400,1.3,1.7,.782,1.7,1.7,3.3,0.9,0.7,0.1,1.2,1.2,2017
32,Sarra Camara,CSP,34,27.5,11.7,4.8,8.9,.543,0.0,0.0,.000,2.1,3.5,.588,2.7,4.1,6.8,1.6,0.6,0.2,2.0,2.4,2017
33,Moustapha Fall,CHA,45,30.3,11.5,4.9,7.2,.675,0.0,0.0,.000,1.7,3.4,.503,2.3,6.1,8.3,2.4,0.5,2.0,1.8,2.3,2017
34,Jakim Donaldson,PORT,36,29.3,11.3,4.5,9.1,.497,0.1,0.3,.364,2.1,2.8,.743,2.4,4.9,7.4,2.5,0.6,0.4,1.4,3.0,2017
35,Sek Henry,PAU,5,27.8,11.2,4.2,10.2,.412,1.2,4.2,.286,1.6,2.0,.800,1.4,0.8,2.2,2.8,0.8,0.0,1.6,3.2,2017
36,Mark Payne,RCB,27,34.3,11.1,4.1,7.4,.550,0.4,1.2,.375,2.5,3.0,.829,0.7,3.0,3.7,4.4,1.8,0.1,1.7,1.5,2017
37,Vincent Poirier,PLV,40,23.6,10.7,4.3,8.0,.535,0.0,0.1,.000,2.2,3.2,.688,3.1,4.5,7.5,0.7,0.5,0.8,1.4,2.8,2017
38,Louis Labeyrie,PLV,35,22.7,10.6,4.1,6.8,.597,0.4,1.2,.333,2.1,3.1,.661,3.1,5.6,8.7,0.8,0.6,0.6,1.0,2.3,2017
39,Alex Urtasun,NAN,33,26.3,10.5,3.4,8.3,.407,1.7,4.3,.392,2.1,2.6,.800,0.5,2.5,3.0,2.3,0.8,0.1,1.5,1.9,2017
