#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,year
1,Jack Cooley,LUD,.612,.565,152.2,22.1,24.5,23.2,4.5,10.3,2.4,3.1,29.1,-5.0,1.5,123.1,102.0,21.1,375.3,29.7,2017
2,Raymar Morgan,RUL,.632,.572,176.0,11.9,21.8,16.9,15.0,10.5,1.7,0.7,29.6,-1.5,1.5,126.3,103.6,22.7,517.3,27.3,2017
3,Assem Marei,BAY,.572,.547,142.3,18.0,25.5,21.8,11.3,13.6,2.6,3.7,26.0,-3.4,1.3,116.0,106.6,9.3,364.4,24.1,2017
4,Danilo Barthel,BAY,.693,.635,175.7,8.6,22.7,16.3,14.8,9.5,1.4,4.1,20.7,1.6,1.8,138.7,97.5,41.2,273.5,24.0,2017
5,Brian Qvale,EWE,.633,.608,163.6,11.3,22.6,17.0,8.0,14.1,1.8,3.6,26.4,-5.0,1.4,115.5,108.5,7.0,450.5,23.9,2017
6,Daniel Theis,BRO,.636,.579,163.1,12.8,27.3,20.7,6.9,15.4,2.1,7.3,24.2,-4.9,1.5,118.4,92.9,25.5,341.5,23.6,2017
7,Nihad Djedovic,BAY,.674,.614,178.2,3.3,15.1,9.7,16.1,13.1,3.2,0.4,25.1,-0.8,1.7,125.4,98.1,27.3,260.3,23.0,2017
8,Alex Ruoff,LUD,.699,.652,179.5,5.4,16.1,10.8,25.4,16.7,2.0,1.2,21.3,2.4,1.7,130.5,106.4,24.1,44.8,22.8,2017
9,Marcos Knight,SCJ,.566,.497,172.2,9.0,20.6,14.6,23.0,14.3,2.8,0.8,31.2,-2.3,1.3,110.8,111.2,-0.5,292.3,22.5,2017
10,Julian Gamble,TBB,.619,.609,143.8,13.2,20.4,16.9,14.5,18.3,2.0,4.6,26.5,-5.1,1.5,111.0,108.8,2.1,376.0,22.2,2017
11,Augustine Rubit,RUL,.621,.557,167.1,11.1,21.5,16.4,8.1,11.1,1.3,2.5,22.2,-2.1,1.6,124.5,101.7,22.8,339.8,21.4,2017
12,Geoff Groselle,BLB,.649,.641,124.2,13.0,23.6,18.2,7.5,17.7,1.2,5.4,22.3,-5.7,1.6,114.9,114.8,0.1,282.5,21.2,2017
13,Jake Odum,OLI,.633,.551,173.5,2.7,12.8,7.6,32.5,15.3,2.0,0.5,21.8,5.1,1.6,127.1,114.4,12.7,406.3,20.8,2017
14,Janis Strelnieks,BRO,.672,.637,179.0,1.1,11.1,6.6,28.0,13.2,1.8,0.2,21.1,5.2,1.5,130.7,100.9,29.9,264.0,20.8,2017
15,Elmedin Kikanovic,BER,.602,.551,132.9,8.8,14.4,11.6,12.2,11.8,1.3,1.7,27.5,-2.8,1.4,114.5,113.7,0.8,320.5,20.4,2017
16,Scott Eatherton,GOE,.641,.593,170.8,16.7,20.9,18.8,11.6,20.7,1.4,2.2,22.8,-5.9,1.6,114.5,110.2,4.3,316.6,20.4,2017
17,Maxi Kleber,BAY,.630,.591,162.3,9.1,23.1,16.7,13.2,13.2,2.3,6.1,18.0,0.4,1.5,124.3,95.8,28.5,366.8,20.3,2017
18,Devin Booker,BAY,.633,.589,166.7,12.9,20.0,16.7,17.7,17.5,2.0,0.7,23.9,-2.0,1.5,118.7,99.2,19.4,310.6,20.3,2017
19,Fabien Causeur,BRO,.657,.623,172.0,3.6,17.2,11.0,20.6,14.7,1.4,0.2,21.6,1.4,1.5,123.5,101.3,22.2,324.1,19.6,2017
20,Justin Sears,GIE,.570,.546,152.3,14.9,15.8,15.3,12.7,14.5,2.1,3.0,23.2,-2.9,1.3,112.6,108.2,4.4,256.6,19.6,2017
21,Dyshawn Pierre,BLB,.594,.538,160.9,7.4,25.3,16.2,17.7,15.5,1.8,0.5,22.7,-1.4,1.4,114.6,116.0,-1.4,404.9,19.6,2017
22,Johannes Thiemann,LUD,.566,.509,150.6,16.5,21.7,19.0,3.9,13.7,2.3,2.4,24.4,-5.7,1.4,111.9,103.4,8.5,202.0,19.4,2017
23,Owen Klassen,HAG,.637,.641,155.8,13.4,18.8,16.1,12.4,17.6,2.0,2.1,19.5,-3.4,1.5,115.0,111.4,3.6,100.4,19.3,2017
24,Dwayne Evans,GIE,.610,.530,166.2,12.3,29.0,20.5,8.4,16.9,1.2,1.4,23.5,-5.2,1.5,114.9,104.7,10.1,264.6,19.2,2017
25,Ryan Thompson,TBB,.663,.604,179.4,2.2,8.6,5.5,21.7,16.1,1.4,0.6,22.9,0.2,1.6,121.5,116.0,5.5,308.9,19.2,2017
26,Bryce Taylor,BAY,.673,.640,193.1,1.9,12.0,7.4,12.7,9.6,2.5,1.9,19.0,1.1,1.5,128.4,100.3,28.1,280.0,19.0,2017
27,Braydon Hobbs,RUL,.609,.573,171.6,2.5,15.0,8.9,40.0,23.3,3.3,0.8,17.1,8.4,1.3,121.4,101.6,19.8,389.4,18.9,2017
28,Cameron Wells,GIE,.585,.552,167.4,2.2,10.9,6.3,26.0,12.4,2.3,1.2,22.1,3.2,1.3,118.3,110.2,8.1,335.3,18.9,2017
29,Darius Carter,GOE,.564,.543,151.6,14.7,16.8,15.7,6.4,10.6,1.0,2.6,23.7,-3.2,1.3,113.6,111.3,2.3,218.3,18.8,2017
30,Josh Mayo,TBB,.633,.585,179.7,1.7,10.0,6.0,28.2,15.7,1.7,0.1,22.5,3.3,1.4,121.3,115.5,5.8,397.6,18.8,2017
31,Reggie Redding,BAY,.601,.573,165.3,3.4,11.9,8.0,26.9,16.9,3.7,1.6,20.3,3.4,1.3,116.6,97.8,18.8,335.6,18.6,2017
32,Chris Babb,RUL,.634,.599,176.3,1.3,13.2,7.4,13.6,8.4,1.6,1.4,20.6,1.5,1.4,125.8,105.7,20.0,454.0,18.6,2017
33,Alex Ruoff,GOE,.571,.529,159.3,4.0,16.6,10.4,29.0,19.5,3.2,1.4,25.4,-0.3,1.3,107.9,106.4,1.5,278.8,18.4,2017
34,Ricky Paulding,EWE,.624,.583,174.8,5.0,6.6,5.8,13.7,11.4,1.5,0.5,23.1,-0.3,1.4,120.8,116.1,4.7,402.6,18.4,2017
35,Kresimir Loncar,OLI,.654,.620,175.8,9.5,14.7,12.0,15.6,19.6,0.8,2.1,24.4,-4.7,1.5,114.7,115.4,-0.7,165.4,18.3,2017
36,Brendan Lane,OLI,.600,.569,159.9,7.4,19.3,13.2,12.8,14.3,0.9,5.0,22.1,-2.2,1.4,113.8,112.6,1.2,247.6,18.0,2017
37,Vladimir Lucic,BAY,.688,.631,175.0,5.9,16.2,11.5,12.2,14.1,1.5,0.9,18.5,-0.5,1.7,128.6,101.6,27.1,290.5,18.0,2017
38,Maxime De Zeeuw,EWE,.620,.586,170.9,5.2,23.9,14.6,13.0,12.4,0.9,0.6,22.0,-0.6,1.4,118.6,112.0,6.6,259.6,18.0,2017
39,Nikos Zisis,BRO,.627,.517,175.2,2.4,9.7,6.4,29.5,15.6,1.3,0.2,19.9,6.1,1.6,128.7,104.1,24.6,223.4,17.9,2017
40,Quincy Diggs,EIS,.587,.543,154.1,5.3,17.5,11.3,23.1,19.3,3.1,0.3,23.3,-1.0,1.5,109.7,113.7,-4.0,328.8,17.9,2017
41,Kyan Anderson,BAY,.565,.489,165.8,1.4,7.7,4.6,24.7,14.9,3.2,0.0,24.1,2.2,1.3,115.2,112.7,2.5,273.6,17.8,2017
42,Shavon Shields,FRA,.622,.587,167.3,6.1,16.2,11.1,12.1,13.3,1.8,0.7,20.8,-1.9,1.4,115.8,106.6,9.2,259.0,17.8,2017
43,Julius Jenkins,SCJ,.608,.588,157.3,1.2,7.2,4.1,22.3,11.7,2.2,0.1,23.7,1.7,1.3,116.9,115.9,1.0,227.4,17.8,2017
44,Trey Lewis,BAY,.644,.580,184.0,2.8,9.2,6.1,12.9,12.8,0.7,0.0,23.0,-1.2,1.5,124.6,117.7,6.9,291.1,17.7,2017
