#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
1,David Bell,HAG,10,34.3,18.3,5.5,13.5,.407,2.1,6.0,.350,5.2,5.7,.912,0.4,2.8,3.2,6.1,0.7,0.0,3.8,2.8,2017
2,Marcos Knight,SCJ,25,29.0,18.2,6.4,13.7,.468,0.8,2.0,.408,4.6,5.4,.846,2.0,4.4,6.4,3.0,1.4,0.2,2.7,3.0,2017
3,Raymar Morgan,RUL,42,25.7,17.7,6.3,11.5,.552,0.5,1.1,.413,4.6,5.8,.795,2.3,4.4,6.7,1.9,0.8,0.2,1.6,2.9,2017
4,Ricky Paulding,EWE,44,31.7,16.1,5.6,11.5,.485,2.3,5.3,.429,2.8,3.3,.834,1.1,1.5,2.7,2.4,0.8,0.1,1.7,2.2,2017
5,Josh Mayo,TBB,35,31.8,15.7,5.1,11.1,.461,2.7,6.6,.414,2.7,2.9,.922,0.4,2.4,2.8,5.1,1.0,0.0,2.3,1.7,2017
6,Elmedin Kikanovic,BER,35,26.1,15.6,6.1,11.0,.551,0.0,0.3,.000,3.5,4.5,.778,1.7,2.8,4.5,1.5,0.6,0.4,1.7,2.2,2017
7,Chris Babb,RUL,43,31.2,15.4,5.2,11.1,.465,3.0,7.0,.421,2.2,2.5,.877,0.3,3.3,3.6,2.4,0.9,0.4,1.1,2.0,2017
8,Trey Lewis,BAY,36,29.3,15.3,4.7,10.3,.456,2.6,5.7,.447,3.4,3.6,.938,0.6,2.0,2.6,2.1,0.4,0.0,1.8,1.9,2017
9,Jake Odum,OLI,33,31.6,15.3,4.6,9.8,.472,1.5,3.9,.392,4.5,5.2,.871,0.6,2.9,3.5,5.7,1.2,0.2,2.2,2.7,2017
10,Alex Ruoff,GOE,25,30.5,15.0,5.7,11.8,.480,1.2,4.1,.284,2.5,3.0,.829,0.9,3.9,4.8,4.7,1.8,0.4,3.2,2.7,2017
11,Frank Gaines,RAS,32,29.1,15.0,5.2,11.7,.440,1.9,5.3,.357,2.8,4.2,.677,0.3,2.2,2.5,2.4,1.2,0.5,2.3,3.0,2017
12,Julius Jenkins,SCJ,27,28.2,15.0,5.2,11.1,.467,2.7,6.6,.408,1.9,2.7,.699,0.3,1.4,1.7,3.1,1.1,0.0,1.6,2.4,2017
