#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
1,Edwin Jackson,EST,32,30.3,21.4,7.1,14.3,.495,2.1,5.5,.373,5.1,5.9,.868,0.5,3.0,3.5,3.4,1.0,0.0,2.8,2.3,2017
2,Sergio Llull,RMB,40,26.8,16.5,5.6,12.9,.435,2.1,6.3,.339,3.1,3.9,.801,0.2,1.4,1.6,5.4,0.6,0.0,1.4,1.2,2017
3,Giorgi Shermadini,AND,35,25.9,15.7,5.5,8.7,.628,0.0,0.1,.000,4.8,6.1,.793,1.9,5.7,7.6,0.8,0.8,0.7,2.2,2.5,2017
4,Scott Bamforth,BBB,23,26.6,14.5,4.4,9.3,.474,2.0,5.2,.392,3.7,4.0,.903,0.6,2.8,3.4,3.0,0.7,0.0,1.7,2.3,2017
5,Stevan Jelovac,ZAR,32,24.2,14.3,4.1,10.3,.401,1.3,4.1,.303,4.8,5.7,.851,1.2,3.8,5.0,0.8,0.4,0.1,1.9,2.8,2017
6,Facundo Campazzo,MUR,31,28.5,14.1,4.7,11.9,.392,1.9,6.0,.310,2.9,3.6,.802,0.4,2.4,2.8,5.9,1.6,0.0,2.6,3.1,2017
7,Shane Larkin,BASK,37,28.0,14.1,4.5,10.7,.420,1.6,5.3,.313,3.4,3.9,.882,0.5,2.6,3.1,4.9,1.4,0.2,2.6,2.3,2017
8,Robin Benzing,ZAR,32,27.4,13.7,4.2,10.0,.417,1.6,4.9,.327,3.8,4.3,.863,0.7,2.6,3.3,1.3,0.9,0.3,1.7,2.7,2017
9,Nemanja Nedovic,UNI,31,20.6,13.5,4.6,8.8,.520,2.0,4.6,.424,2.4,2.8,.849,0.3,1.3,1.5,3.4,0.5,0.1,2.1,2.0,2017
10,Alex Mumbru,BBB,32,27.9,12.9,4.4,11.3,.392,1.7,5.2,.327,2.3,3.1,.747,0.7,3.5,4.2,3.2,1.1,0.1,2.3,2.5,2017
11,Bojan Dubljevic,VAL,39,21.5,12.5,4.5,9.4,.482,0.8,2.4,.326,2.6,3.2,.823,1.7,4.1,5.8,1.6,0.6,0.2,1.9,1.9,2017
12,Bostjan Nachbar,BETIS,25,23.4,12.4,4.3,10.0,.426,1.4,3.9,.371,2.4,2.8,.884,0.7,3.3,4.0,0.9,0.5,0.1,1.7,2.4,2017
13,Ante Tomic,FCB,35,23.1,12.4,4.8,7.5,.633,0.0,0.1,.500,2.8,4.4,.641,2.0,5.8,7.7,2.1,0.5,0.5,1.3,2.3,2017
14,Aaron Doornekamp,TEN,35,26.5,12.3,4.0,8.5,.472,2.5,5.8,.426,1.7,2.0,.859,1.0,3.2,4.2,1.5,0.8,0.2,0.9,2.9,2017
