#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
1,Jordan Theodore,BVS,31,33.7,18.4,6.5,14.2,.460,1.4,4.0,.358,3.9,4.8,.812,0.5,3.2,3.7,7.2,1.2,0.0,3.5,2.5,2017
2,Davon Jefferson,GAZ,27,30.0,18.0,7.2,11.6,.618,0.0,0.2,.000,3.7,4.9,.756,3.6,5.4,9.1,1.8,1.1,0.9,2.5,2.7,2017
3,DaJuan Summers,PIN,29,32.6,17.0,6.1,12.9,.477,2.3,5.4,.423,2.4,3.0,.795,1.3,5.4,6.7,0.8,1.2,0.3,2.0,2.4,2017
4,Dominique Morrison,TED,30,35.9,16.5,5.3,15.2,.346,2.1,6.7,.312,3.9,4.8,.811,0.8,3.4,4.2,1.6,0.9,0.1,1.7,3.4,2017
5,Kenny Hayes,DEM,29,33.2,16.4,5.5,12.7,.435,1.3,4.0,.316,4.1,5.1,.805,0.3,1.5,1.8,3.6,0.8,0.0,2.2,1.7,2017
6,Marcus Denmon,GAZ,31,33.5,16.1,5.3,12.3,.432,2.8,7.5,.373,2.7,3.4,.817,0.6,3.8,4.4,4.2,1.4,0.2,2.3,2.6,2017
7,Shaquielle McKissic,UUB,26,33.5,15.8,5.4,10.9,.493,1.5,4.2,.349,3.6,5.1,.699,0.8,4.9,5.7,2.9,1.4,0.0,1.9,2.7,2017
8,Kenneth Kadji,TRA,28,29.1,15.2,6.1,11.7,.524,0.8,2.8,.273,2.2,2.9,.744,1.6,4.2,5.8,0.8,0.8,1.3,2.0,3.0,2017
9,Brad Wanamaker,DBI,32,29.2,15.1,4.8,9.8,.494,1.5,3.8,.393,4.0,4.8,.825,0.4,1.8,2.2,4.7,1.0,0.1,2.4,2.8,2017
10,Gediminas Orelik,BVS,31,31.2,15.1,5.1,10.6,.479,2.9,7.0,.417,2.0,2.6,.778,1.3,3.8,5.1,1.5,0.5,0.2,1.2,1.9,2017
11,Sean Armand,IBB,29,30.1,14.9,5.7,11.9,.483,1.9,4.8,.399,1.6,2.1,.742,0.7,2.3,3.0,3.7,1.3,0.1,3.7,2.9,2017
12,Dwight Hardy,TRA,30,33.9,14.7,5.2,11.3,.459,1.8,4.7,.386,2.5,3.0,.844,0.7,1.6,2.3,2.7,1.1,0.1,1.6,1.6,2017
13,Sammy Mejia,TOF,32,34.2,14.7,5.2,9.7,.539,1.7,4.2,.406,2.6,3.6,.713,0.9,4.5,5.5,3.8,1.3,0.2,1.8,2.3,2017
14,Anthony Gill,YES,30,31.0,14.4,5.6,8.5,.655,0.7,1.4,.465,2.6,3.4,.765,2.6,4.3,6.9,0.9,0.6,0.5,1.8,2.8,2017
15,Caleb Green,TRA,24,34.8,14.4,4.8,9.2,.518,1.2,3.6,.337,3.7,4.2,.871,1.3,4.5,5.8,4.0,1.3,0.1,2.4,2.6,2017
16,Vladimir Stimac,BES,40,24.9,13.9,5.6,8.6,.652,0.0,0.0,.000,2.7,4.7,.575,4.3,5.3,9.6,1.1,0.4,0.4,1.6,2.2,2017
17,Earl Clark,BES,39,27.8,13.4,5.0,11.4,.440,1.5,3.9,.386,1.8,2.6,.720,1.1,4.9,5.9,0.9,0.8,0.7,1.8,1.5,2017
18,Mateusz Ponitka,PIN,28,31.2,13.3,4.9,9.8,.502,1.0,3.3,.297,2.4,3.4,.708,1.5,3.2,4.7,2.2,1.7,0.3,1.7,1.7,2017
19,Vasilje Micic,TOF,24,27.5,13.3,4.1,8.9,.460,2.0,5.3,.389,3.0,3.7,.830,0.4,2.3,2.7,3.9,1.4,0.1,2.1,3.0,2017
20,Cedi Osman,EFE,35,25.7,13.2,4.8,9.7,.496,1.7,4.4,.383,1.9,2.6,.739,0.9,3.1,4.1,1.3,1.5,0.3,1.3,2.5,2017
21,Julian Wright,TRA,23,32.7,13.2,5.5,11.4,.481,0.3,1.4,.188,2.0,3.1,.634,2.4,5.3,7.7,3.0,1.5,0.7,2.4,2.2,2017
22,Scottie Wilbekin,DBI,26,27.2,13.1,4.1,9.5,.431,2.5,6.5,.393,2.3,2.8,.824,0.3,2.2,2.5,4.0,1.2,0.0,1.9,1.8,2017
23,D'Angelo Harrison,UUB,25,29.7,13.0,4.4,10.4,.429,1.7,4.9,.350,2.4,2.8,.859,0.9,3.0,3.8,4.1,0.9,0.2,2.2,3.2,2017
24,Rolands Freimanis,UUB,30,28.4,12.9,5.0,10.8,.461,1.1,3.3,.327,1.9,2.6,.753,1.4,3.5,4.9,1.0,0.5,0.1,1.7,2.0,2017
25,Malcolm Armstead,YES,29,33.6,12.9,5.0,12.6,.395,1.6,5.4,.297,1.4,1.8,.784,0.5,2.3,2.8,5.2,1.5,0.0,2.9,2.6,2017
26,Thomas Heurtel,EFE,33,25.7,12.2,4.5,10.3,.437,1.5,3.7,.413,1.6,2.1,.771,0.3,1.9,2.2,6.7,1.0,0.0,2.2,2.4,2017
27,Angelo Caloiaro,DEM,30,29.5,11.9,4.5,7.8,.581,1.3,3.1,.413,1.6,2.2,.723,1.0,5.5,6.5,1.6,1.1,0.4,1.1,2.2,2017
28,Sinan Guler,GAL,32,29.4,11.9,4.1,10.1,.409,1.8,5.0,.371,1.8,2.3,.760,0.6,3.5,4.1,4.8,1.6,0.4,2.5,2.4,2017
29,James Nunnally,FEN,30,21.2,11.9,3.9,6.7,.574,2.3,4.0,.571,1.9,2.2,.862,0.4,1.3,1.6,2.0,0.8,0.1,1.4,2.3,2017
30,Ike Ofoegbu,BBB,30,25.1,11.9,3.8,7.5,.504,0.8,2.4,.347,3.5,4.9,.714,2.3,2.2,4.5,0.9,0.7,0.2,1.8,2.5,2017
31,Derrick Brown,EFE,35,25.5,11.7,4.8,8.7,.552,0.9,1.6,.526,1.2,1.8,.694,1.3,3.6,5.0,1.8,0.8,0.2,1.5,2.2,2017
32,Zach Auguste,UUB,23,22.5,11.7,4.5,7.4,.608,0.0,0.0,.000,2.7,4.5,.587,3.7,3.9,7.5,0.6,0.7,0.4,2.0,3.7,2017
33,Vladimir Micov,GAL,30,27.9,11.6,4.2,9.1,.462,1.6,3.9,.410,1.6,2.1,.774,0.5,1.5,2.0,2.6,1.0,0.1,1.2,2.4,2017
34,Andy Rautins,GAZ,31,32.9,11.6,3.9,9.7,.404,3.0,7.8,.384,0.7,0.9,.815,0.5,3.6,4.2,4.7,1.2,0.0,2.7,3.3,2017
35,Devin Thomas,TED,27,31.8,11.4,4.4,9.1,.482,0.0,0.1,.250,2.6,3.7,.690,2.0,5.7,7.7,3.3,1.2,0.8,3.3,3.1,2017
36,Jan Vesely,FEN,33,23.9,11.4,4.5,6.5,.704,0.0,0.1,.000,2.3,3.1,.743,2.2,3.2,5.4,1.5,1.0,0.8,0.9,2.7,2017
37,Jaka Klobucar,IBB,29,27.4,11.2,3.5,7.6,.459,1.2,3.4,.347,3.1,4.4,.690,0.7,3.4,4.1,3.4,1.6,0.0,2.3,2.2,2017
38,Michael Roll,BES,40,29.1,11.2,4.1,8.9,.456,1.3,3.7,.351,1.8,2.0,.889,0.8,2.1,2.9,4.6,0.8,0.1,1.4,2.4,2017
39,J'Covan Brown,PIN,27,29.4,11.2,3.9,10.4,.377,1.6,5.0,.326,1.7,1.9,.902,0.1,1.6,1.8,4.5,0.9,0.1,2.7,2.6,2017
40,Josh Owens,PIN,29,28.5,11.2,5.1,7.2,.708,0.0,0.0,.000,1.0,1.9,.509,2.6,3.4,6.0,0.9,1.0,0.4,1.4,2.9,2017
41,D.J. Strawberry,BES,38,26.4,11.1,4.1,9.2,.442,1.3,4.0,.329,1.7,2.9,.563,0.5,2.8,3.3,3.4,1.3,0.4,1.9,2.4,2017
42,Earl Calloway,IBB,28,30.1,11.0,4.1,8.7,.469,1.8,4.5,.386,1.1,1.3,.838,0.5,3.1,3.6,4.0,1.5,0.1,2.3,2.5,2017
43,Will Cherry,GAZ,32,31.2,11.0,4.0,9.6,.418,1.1,4.0,.276,1.9,2.5,.741,1.3,3.8,5.0,4.0,1.7,0.1,2.4,2.9,2017
44,Michael Thompson,BES,39,26.1,10.9,3.7,8.9,.422,2.0,5.2,.386,1.4,1.5,.948,0.3,1.4,1.7,3.2,0.6,0.0,1.6,2.4,2017
45,Will Clyburn,DBI,31,26.9,10.8,4.2,9.5,.440,0.8,2.5,.316,1.7,2.5,.701,1.3,4.4,5.6,1.5,0.7,0.2,1.9,2.3,2017
46,Adrien Moerman,DBI,23,24.4,10.5,4.0,8.3,.476,1.4,3.4,.405,1.2,1.6,.778,1.7,4.2,6.0,1.8,0.4,0.3,1.5,2.6,2017
47,Andrija Stipanovic,DEM,30,22.4,10.5,4.4,7.6,.576,0.0,0.1,.000,1.7,2.7,.622,1.9,3.1,5.0,2.0,0.7,0.3,2.0,3.2,2017
48,Deshaun Thomas,EFE,30,20.6,10.5,3.8,8.8,.436,1.7,4.3,.400,1.1,1.4,.767,1.3,1.9,3.2,0.9,0.5,0.1,0.9,1.3,2017
49,Austin Daye,GAL,23,22.5,10.5,3.8,7.8,.489,1.3,3.4,.385,1.5,1.8,.854,0.4,3.9,4.3,1.5,0.8,0.3,1.0,2.6,2017
50,Kaloyan Ivanov,TOF,31,24.1,10.3,3.6,7.2,.505,0.5,2.2,.246,2.5,3.7,.675,2.1,2.2,4.3,2.1,1.0,0.1,1.8,2.1,2017
51,Ali Muhammed,FEN,38,23.0,10.2,3.4,8.2,.415,2.1,5.4,.382,1.3,1.5,.828,0.5,2.2,2.7,3.2,1.2,0.0,1.6,1.9,2017
52,Ekpe Udoh,FEN,30,26.6,10.1,4.1,6.9,.594,0.0,0.1,.333,1.9,3.1,.609,1.6,4.5,6.1,2.3,0.6,1.6,1.2,2.2,2017
53,Dairis Bertans,DBI,24,23.7,10.1,3.2,7.1,.450,1.8,4.3,.427,1.8,2.2,.846,0.3,1.2,1.5,2.6,0.8,0.0,1.0,2.1,2017
54,Bryant Dunston,EFE,35,28.1,10.1,3.9,5.8,.665,0.0,0.0,.000,2.3,3.7,.626,2.6,3.8,6.4,1.3,1.0,1.7,1.2,2.8,2017
55,James Anderson,DBI,27,23.1,9.9,3.6,8.5,.426,1.7,4.3,.385,1.0,1.2,.818,0.8,3.7,4.5,1.9,0.5,0.3,1.1,2.1,2017
56,Gasper Vidmar,BVS,32,22.4,9.8,3.9,6.0,.651,0.0,0.0,.000,1.9,5.1,.383,2.5,2.4,4.9,1.2,0.8,0.7,1.8,2.8,2017
57,Kostas Sloukas,FEN,31,21.9,9.7,3.1,6.1,.505,1.0,2.6,.383,2.5,2.8,.897,0.3,2.4,2.6,4.5,0.6,0.0,2.2,1.6,2017
