#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
1,Quinn Cook,CLE,39,38.5,26.0,9.0,19.0,.476,2.5,6.7,.372,5.5,6.1,.895,0.5,3.5,4.1,6.7,1.1,0.1,3.6,2.4,2017
2,Manny Harris,TEX,42,38.6,25.9,9.1,20.3,.451,1.8,5.1,.352,5.8,7.3,.793,1.8,5.6,7.4,3.9,2.0,0.3,3.6,2.0,2017
3,Vander Blue,SBL,47,34.8,24.8,7.6,17.6,.435,1.8,5.1,.351,7.7,9.6,.807,0.9,4.2,5.1,3.0,1.6,0.1,2.1,2.1,2017
4,Jordan Crawford,GRD,37,29.8,23.5,8.5,18.1,.473,2.6,7.4,.355,3.8,4.4,.870,0.4,2.9,3.3,3.5,1.2,0.2,1.9,1.8,2017
5,Kevin Murphy,GRD,45,33.8,23.1,7.5,16.8,.445,3.2,7.6,.415,5.0,6.1,.808,0.8,5.0,5.8,1.5,1.0,0.1,2.6,3.0,2017
6,John Holland,CLE,37,38.8,22.9,7.9,16.5,.481,2.4,7.0,.346,4.6,5.2,.881,1.2,3.5,4.7,3.1,1.5,0.2,2.5,3.2,2017
7,Abdel Nader,MNE,40,33.5,21.3,7.4,16.5,.447,2.5,7.1,.349,4.1,5.1,.794,0.7,5.5,6.2,3.9,1.0,0.8,3.6,2.5,2017
8,Jalen Jones,MNE,46,36.0,21.0,6.9,15.4,.446,2.0,5.7,.345,5.3,7.1,.746,2.0,7.0,9.0,2.2,1.0,0.6,3.1,3.0,2017
9,Keith Benson,SXF,50,31.9,20.5,8.4,13.9,.602,0.1,0.1,.429,3.7,4.8,.771,3.3,7.2,10.5,0.7,0.6,2.2,1.6,3.9,2017
10,Shawn Long,DEL,39,29.5,20.2,8.1,15.0,.537,0.3,1.2,.217,3.8,5.6,.691,4.2,6.9,11.2,1.6,0.6,1.3,3.0,3.5,2017
11,Darius Morris,RGV,47,33.7,20.0,6.6,14.8,.447,2.0,6.1,.330,4.8,5.8,.824,0.9,3.4,4.3,6.4,1.3,0.0,3.2,2.1,2017
12,Elijah Millsap,NAS,50,36.9,19.8,6.6,15.4,.431,1.4,4.7,.305,5.1,6.9,.732,1.4,6.5,7.8,4.0,2.0,0.5,3.2,3.7,2017
13,Dakari Johnson,OKL,49,29.0,18.5,7.0,12.6,.556,0.0,0.3,.154,4.4,6.4,.684,3.1,4.9,7.9,2.2,0.8,1.3,2.5,3.2,2017
14,Wayne Selden,IWA,35,31.1,18.5,6.8,15.2,.448,2.2,6.2,.349,2.7,4.1,.650,1.3,3.5,4.8,2.9,0.9,0.5,2.3,1.8,2017
15,Alex Poythress,FWN,46,31.1,18.5,7.2,13.6,.528,0.7,1.7,.403,3.5,4.4,.783,2.5,4.5,7.1,1.5,0.7,1.4,2.7,3.8,2017
16,Reggie Williams,OKL,36,33.0,18.3,6.8,14.2,.482,2.4,5.9,.413,2.2,2.8,.790,0.9,3.9,4.8,3.4,0.9,0.0,1.9,1.5,2017
17,Kalin Lucas,ERI,48,31.4,18.1,6.3,14.2,.442,1.5,3.7,.404,4.0,4.6,.873,0.5,3.4,3.9,5.0,1.0,0.0,2.3,1.8,2017
18,Phil Pressey,SCW,46,33.4,18.0,6.2,15.7,.396,2.3,7.0,.331,3.3,4.3,.770,0.7,4.6,5.3,8.0,2.1,0.2,3.4,2.0,2017
19,Ray McCallum,GRD,43,36.9,17.6,6.7,15.0,.444,0.9,2.7,.314,3.4,4.4,.778,1.2,4.6,5.8,7.0,2.2,0.3,2.7,2.3,2017
